
 PRINT ALONG PATH DEFINED BY LPATH COMMAND.  DSYS=  0
 
 ***** PATH VARIABLE SUMMARY *****                                             
 
      S            ZG           SZ      
   0.0000       0.0000       23.707     
   50.000       50.000       11.454     
   100.00       100.00       11.539     
   150.00       150.00       11.884     
   200.00       200.00       11.987     
   250.00       250.00       11.846     
   300.00       300.00       11.500     
   350.00       350.00       10.979     
   400.00       400.00       10.311     
   450.00       450.00       9.5150     
   500.00       500.00       8.6064     
   550.00       550.00       7.5911     
   600.00       600.00       6.4764     
   650.00       650.00       5.2624     
   700.00       700.00       3.9470     
   750.00       750.00       2.5277     
   800.00       800.00      0.99832     
   850.00       850.00     -0.63323     
   900.00       900.00      -2.3187     
   950.00       950.00      -3.6009     
   1000.0       1000.0     -0.12161     
